,Target Proteins,Decoy Proteins
SeparateProteinIDsSavitski_no_remap_1000_RANDOM_1.csv,13974,6575
SeparateProteinIDsSavitski_no_remap_1000_RANDOM_3.csv,13999,6754
SeparateProteinIDsSavitski_no_remap_1000_RANDOM_2.csv,13767,6579
SeparateProteinIDsPicked_protein_group_no_remap_1000_RANDOM_2.csv,16369,6838
SeparateProteinIDsPicked_protein_group_no_remap_1000_RANDOM_3.csv,16618,6860
SeparateProteinIDsPicked_protein_group_no_remap_1000_RANDOM_1.csv,16510,6722
SeparateProteinIDsClassic_no_grouping_no_remap_1000_RANDOM_1.csv,15535,12688
SeparateProteinIDsClassic_no_grouping_no_remap_1000_RANDOM_2.csv,15319,12509
SeparateProteinIDsClassic_no_grouping_no_remap_1000_RANDOM_3.csv,15563,12805
